,M 1,M 2,M 3,M 4,M 5,M 6,M 7,M 8,M 9,M 10,M 11,M 12,M 13
51,0.407222774,0.171028141,-0.056882925,1.952276315,-0.500517566,-0.170145023,0.346011955,-0.999727759,-0.985389277,0.176633793,-1.577396567,-1.236964451,NA
52,0.459490538,-0.065113159,-0.554683462,1.887869241,-0.396968943,-0.008075266,0.203410772,-0.849272597,-1.116539722,0.116998118,-1.725735935,-1.142774434,NA
53,0.502824617,0.039243732,-0.088918485,2.013388393,-0.385618276,0.080517843,0.262350706,-0.681323925,-1.178965518,-0.008825091,-1.661536579,-1.12340751,NA
54,0.464369305,0.717358954,-0.166442574,2.008740319,-0.633601388,-0.033747445,0.258494955,-0.463587588,-1.09823237,-0.220936925,-1.202958308,-1.109070962,NA
55,0.690236844,0.997877286,0.317407102,1.99882986,-0.754512283,0.149156884,0.357101062,-0.397075382,-1.093343561,-0.238396975,-0.174830761,-1.054420489,NA
56,0.487251227,0.663130436,0.16022559,2.244025495,-0.772217445,0.133774512,0.356077408,-0.412041538,-0.899081401,-0.277965947,0.690179064,-1.161752779,NA
57,NA,0.073998989,-0.484537628,1.454848002,-0.857646986,0.277960537,0.322156868,-0.358228113,-1.243525252,0.724129213,0.992614575,-1.039276984,NA
58,0.487251227,0.528649418,-0.260883845,1.682558921,-0.494367625,0.182260366,0.28885561,-0.670852045,-0.611727931,0.27798351,-0.313766688,-1.151478213,NA
59,0.327849258,0.547653129,-0.190935827,1.789769727,-0.393586352,0.180184056,0.332048814,-0.794750556,-0.722545933,0.205704903,-0.97444067,-1.174099925,NA
60,0.236127082,0.589871962,-0.184275707,1.721807731,-0.329034557,0.182016354,0.3548493,-1.012524078,-0.677627308,0.159745953,-2.188070425,-1.164037824,NA
61,0.502824617,0.496996851,0.010531964,1.942329963,0.023307912,0.465359435,0.770738445,-1.205348074,-0.743682447,0.121697009,-2.103970871,-1.193947996,NA
62,0.794735423,0.243629469,0.586493636,2.071154562,0.061455991,0.96151779,0.676280541,-1.331914905,-1.065435463,0.096821898,-2.269085543,-1.143184779,NA
63,0.735269362,-0.124332405,0.322776078,2.062348367,-0.120470265,0.730285242,0.484333274,-1.425884254,-0.899784853,0.128257235,-2.026433865,-1.146265408,NA
64,0.982691604,0.105229365,0.343142813,1.951324389,-0.12741008,0.714270311,0.412441007,-1.358931423,-1.016430608,0.198395164,-1.756077739,-1.058594052,NA
65,0.764569275,0.198388478,0.183480681,1.90453105,-0.343356644,0.509679419,0.224682763,-1.286934549,-1.001008969,0.252721495,-1.440616243,-1.050185011,NA
