1	group_47691,group_27161,group_17696,group_47692,group_47693,group_27162,group_47690,group_27163
2	group_14751,group_16328
3	group_14435,group_11485
4	group_948,group_8294
5	group_30062,group_12574,group_10416,group_61739,group_61727,group_18601,group_75139,group_11711,group_12575,group_14837,group_22158,group_61740,group_13582,group_18747,group_30067,mpa_2,group_11712,group_30068,group_61741,group_18602
6	group_30754,group_14933
7	group_1627,group_2145,group_8295,group_3594,group_6927,group_946
8	group_7414,group_9027
9	group_16035,polA
10	group_16239,group_15885,group_28352,group_15884,group_13225
11	group_13606,group_10799,group_13235,group_13234
12	group_12230,group_15909
13	group_15356,group_27325,group_27326,group_15355,group_27327,group_49097,group_49098,group_13953,group_20072,group_17259,group_20073,group_20071,group_15359,group_10507,group_8947
14	group_2142,group_6922
15	group_1993,group_28428,group_55403,group_28427,group_15912,group_13232,group_55407,cas2b
16	group_8152,group_44896,group_26682,group_11737,group_26681,group_5784,group_12033
17	group_29615,group_29614
