ID	Result
group_9719	0.0548164059047526
group_12011	-0.283606627474764
group_1995	0.112297606860015
group_7100	-0.225981006124217
group_1883	0.327714092541482
group_29886	-0.26434538428964
group_112878	-0.298889179254571
mscL	-0.0138011176305591
group_20813	-0.282693820232459
dipZ	-0.114365942502825
group_14287	-0.143677376304143
group_14446	-0.23120210940845
cas2	-0.0729386891490803
group_15991	0.167540269193709
group_73923	-0.457942225418782
group_19239	-0.204523198607014
group_1785	-0.158118967183202
group_10544	-0.0619073145383404
group_13780	-0.363024648411174
group_18878	-0.375236576990825
group_25182	-0.273789290644879
group_11578	0.037402143747864
group_15327	0.142544923541962
group_59446	0.308976251796759
group_11670	0.097817028631873
rphC	-0.393179590241704
group_17755	-0.230355116853531
group_32237	-0.457942225418782
group_14753	-0.164945321916928
group_31767	-0.457942225418782
group_19180	-0.457942225418782
group_8289	-0.250047613520509
group_20042	0.0750148138689189
group_17225	-0.30938056506081
group_32522	-0.312218074608567
group_11515	-0.124503721307159
group_73047	-0.457942225418782
group_9842	-0.234417986915144
atpG_2	-0.284182776775358
group_263	-0.0436970574864692
group_33845	-0.374146964393779
rcsC_47	-0.457942225418782
group_5774	0.268597044743392
pknD_15	-0.0121448543151308
group_12276	0.194027502859634
group_30067	0.497198129635147
group_23311	-0.457942225418782
group_113137	-0.301780196089257
group_14321	-0.279162861564006
banIR	0.0264319683857607
group_19989	-0.164163672214329
group_20817	-0.280110121204315
group_14454	-0.191228671169841
group_11712	0.49196334698344
group_14786	-0.13661466318707
group_73924	-0.462162367215095
group_17904	-0.226940232623252
group_59447	0.324631571476182
group_14327	-0.096595001187409
group_7243	-0.0541038031176936
group_32238	-0.462162367215095
group_11683	-0.30012108530019
group_31772	-0.462162367215095
group_5900	0.0272725853728593
group_22277	-0.405423473499681
group_12732	-0.256686110820942
group_30068	0.492490243281577
group_4741	0.102763052467306
atpB	-0.281774183448504
group_27163	0.925101763855636
group_19241	-0.145333726850334
group_11899	-0.256794984132405
group_33847	-0.383431417434906
group_25207	-0.281603372685176
group_13841	-0.323574697416303
group_10201	-0.0874776767683716
group_18937	-0.0526099649261046
vgrG1	0.136173816887782
group_17253	-0.325529633872154
group_32726	-0.328397934059388
group_20938	-0.263102542512839
group_10782	-0.238247999282183
group_17820	-0.0799753951075776
group_16066	-0.142621779605235
group_1561	-0.117275431327947
group_18077	-0.0397975801186128
group_11967	0.0200597157932189
group_19339	-0.278611096468917
group_14796	-0.370547300665594
group_2272	-0.0899766882520203
group_19995	-0.296928706900485
group_5068	0.0356403804563804
group_19182	-0.462162367215095
group_32239	-0.471996825209823
group_59449	0.295538261671395
group_33937	-0.462162367215095
group_14334	-0.213985670144115
gtaB	-0.462162367215095
group_7305	-0.205879946629946
group_73937	-0.471996825209823
btuD_6	-0.0278090968222629
group_59086	-0.244860870706884
group_12152	0.149671311837037
group_31773	-0.471996825209823
group_25218	-0.293898252820812
group_13891	0.179222967838797
