CARKD
COQ3_1
COQ3_2
COQ3_5
COQ3_6
COQ3_7
COQ3_8
COQ3_9
COQ5_1
COQ5_2
COQ5_4
COQ5_7
COQ5_8
COQ5_9
IMPDH_1
MgdE
PSK
RBKS
aaeA
accB
accD
ackA
acpH
acpP
acpP_1
acpP_2
acr1
acr3
acsA
act
actIII
acuC
ada
adhA
adhE
adk_1
adk_2
aes
alaS
aldH1
algC
alr2
amiB2
ampG
amtB
amyM
amyS
amyX
aniA
ankX
anmK
apaH
apaH_2
apcE
aplIM
apnhaP
aqpZ_1
araP
argF
argS
arnB
arnC_2
arnC_3
arnC_4
arnC_5
arnC_6
arnE
arnT_1
arnT_2
aroA1
aroF_1
aroF_2
aroH
aroK
arsA
arsC
arsC_2
arsH_2
artM
asd
asd2
asnB
asnB_2
aspA
aspS
atoS
atoS_2
atpB
atpF
atpG_2
atpH
atpH_1
atzE
atzF
axe2
bamA_1
bamA_2
bamA_3
bamA_4
banIM
bauA
bcp_1
bcrA
bcsA
bepA_1
bepA_3
bepA_4
bepA_5
bepE
besA
betA
bicA
bioA
bioD1
bioF
birA
bla
blh
bmrU
bpoC
braC
bsoBIR
btuB
btuD_1
btuD_10
btuD_11
btuD_12
btuD_13
btuD_14
btuD_3
btuF
capA
carB_2
carC
cas1
cas2
cat
cbbS
cbbY
cbiA
cbiD
cbiET
cbiN
cbiQ
cbiX
cbpA
cbpA_1
cbpA_2
cca
cckA
ccmM
ccp
ccpA
ccsB
cefD_2
cetB
cfa
cheB_2
cheR
cheW
cheW_1
cimA
cinA
clcA
clcA_2
clcB
clcD
clcD_2
clpX_1
cmdD
cmoA
cmoA_1
cmoA_2
cmoM
cmpB_1
cmpB_3
cmpC_1
cmpC_2
cmpR_1
cntE
coaE
coaX
cobD
cobH
cobK
cobL
cobN_1
cobO_1
cobP
cocE
codA
codAch2
comB
comC
comM
copA
corA
cpcA
cpcB2
cpcC
cpcC2
cpcD
cpcE
cpcF
cpcS
cpcS1
cpcS_1
cpcT1
cpcT2
cpdA_4
cpeA
cpeB
cpeC
cpeD_1
cpeD_2
cpeS
cpeT
cph1
cph2_1
cph2_2
cph2_3
cphB_1
cpoB_1
cpoB_10
cpoB_2
cpoB_4
cpoB_7
cpoB_8
cpoB_9
crcB
crnA
crp
crtI_2
crtI_3
crtN
crtN_2
csd
ctaD_2
ctaE
ctaE_2
ctpA
ctpF_1
ctpF_2
curA
cusR
cutA
cwlM
cya_2
cyc2
cydA
cydB
cynS
cynT
cysA_1
cysB
cysC
cysE
cysG
cysK1_1
cysQ_1
cysQ_2
cysR
cysR_2
cysS
cysT
cysW
cysZ
czcA
czcR
dac
dadA
dadD
dagK
dapF
dapH_1
